JOJO的奇妙冒险  星尘远征军,869.1万,9.9,14864,2014年4月4日,"['漫画改', '奇幻', '战斗', '冒险']",22.2万,328万,"已完结, 全24话",1,空条承太郎：小野大辅\n花京院典明：平川大辅\n简·皮耶尔·波鲁纳雷夫：小松史法\n乔瑟夫·乔斯达：石冢运升\n穆罕默德·阿布德尔：三宅健太\n伊奇：福圆美里\n迪奥·布兰度（DIO）：子安武人\n格雷普莱：长克巳\n冒牌提尼尔船长：玄田哲章\n永恒（Forever）：山口胜平\n诅咒的迪波：㭴井笙人\n拉伐索尔：川田绅司\nJ·凯尔：千叶繁\n荷尔·荷斯：木内秀信\n妮娜：雪野五月\nZZ：岩崎征实\n恩雅婆婆：铃木玲子\n钢铁阿丹：岸尾大辅\n阿拉伯胖子：坂卷学\n男孩婴儿（Mannish Boy）：大谷育江\n卡梅欧：有本钦隆\n蜜特拉：久川绫\n恩多尔：伊藤健太郎\n欧因哥：保村真\n波因哥：熊井统子\n阿努比斯：松本保典\n玛莱雅：高垣彩阳\n阿雷西：小野坂昌也\n丹尼尔·J·达比：银河万丈\n达伦斯·T·达比：诹访部顺一\n瓦尼拉·艾斯：速水奖,原作：荒木飞吕彦\n监督：津田尚克\n系列监督：铃木健一\n总演出：加藤敏幸\n总编剧：小林靖子\n角色设计、总作画监督：小美野雅彦\n替身设计、动作作画监督：光田史亮\n动作作画监督：三室健太\n替身设计·次要角色设计：町田真一\n道具设计：宝谷幸稔、杉山了藏\n美术设定：青木薰、副岛惠文\n色彩设计：佐藤裕子\n美术监督：吉原俊一郎\n摄影监督：山田和弘\n3DCGI监督：桧垣贤一\n剪辑：广濑清志\n音响监督：岩浪美和\n音乐：菅野佑悟\n动画制作：david production
这个勇者明明超强却过分慎重,7407.2万,9.6,45206,2019年10月2日,"['小说改', '穿越', '奇幻', '战斗']",74.2万,332.3万,"连载中, 每周三 23:00更新",1,龙宫院圣哉：梅原裕一郎\n莉丝妲黛：丰崎爱生\n马修：河西健吾\n艾鲁鲁：古贺葵\n阿丽雅朵亚：山村响,原作：土日月《这个勇者明明超TUEEE却过度谨慎》（株式会社KADOKAWA\u002FKADOKAWA BOOKS刊）\n角色原案：とよた琐织\n监督：迫井政行\n总编剧 \u002F 剧本：猪原健太\n角色设计 \u002F 总作画监督：户田麻衣\n道具设计：户田麻衣 \u002F 铃木典孝 \u002F 岩畑刚一\n美术设定：青木薰（美峰） \u002F 绪川真美绪 \u002F DIGITAL NOISE\n美术监督：高峰义人（美峰） \u002F 宫里和誉（美峰）\n色彩设计：佐藤美由纪（Wish）\n特效监修：谷口久美子（Team Taniguchi）\n摄影监督：大泉矿（T2studio）\n2DWORKS：荒木宏文\n3D监督：板井义隆（Aera Laboratory）\n编辑：须藤瞳（REAL-T）\n音响监督：明田川仁\n音乐：藤泽庆昌\n音乐制作：KADOKAWA\n动画制作：WHITE FOX
路人超能100(灵能百分百),7515.5万,9.7,14690,2016年7月12日,"['热血', '奇幻', '战斗']",117.1万,341.7万,"已完结, 全12话",0,影山茂夫（龙套）：伊藤节生\n灵幻新隆：樱井孝宏\n影山律：入野自由\n花泽辉气：松冈祯丞\n鬼瓦天牙：细谷佳正\n米里一：藤村步\n暗田留：种崎敦美\n蕾：佐武宇绮,原作：ONE（小学馆“MangaONE”连载中）\n监督：立川让\n系列构成・脚本：濑古浩司\n角色设计：龟田祥伦\n美术监督：河野羚\n色彩设计：中山しほ子\n撮影监督：古本真由子\n音响监督：若林和弘\n音乐：川井宪次\n动画制作：BONES\n制作：「灵能百分百」制作委员会
魔法少女育成计划,795.2万,8.0,1822,2016年10月2日,['魔法'],38.4万,43.4万,"已完结, 全12话",0,白雪：東山奈央\n波纹：沼倉愛美\n最高速：内山夕実\n王权：日笠陽子\n法布：間宮くるみ\n圣少女：佐倉綾音\n眠眠：花守ゆみり\n灾厄玛丽：井上喜久子\n泳泳：水瀬いのり\n,脚本：吉岡たかを\n导演：橋本裕之\n人物设定：愛敬由紀子\n主题歌演出：沼倉愛美\n原作：遠藤浅蜊\n系列构成：吉岡たかを\n制作：ジェンコ\n动画制作：ラルケ\n
贤者之孙,5727万,6.7,48812,2019年4月10日,"['小说改', '奇幻', '架空', '穿越']",76.3万,194.9万,"已完结, 全12话",1,西恩·沃夫特：小林裕介\n奥古斯都·冯·亚尔斯海特：小松昌平\n西希莉·冯·克洛德：本泉莉奈\n玛丽亚·冯·墨西拿：若井友希\n梅林·沃夫特：屋良有作\n梅莉达·鲍温：高岛雅罗\n奥利弗·斯托罗姆：森川智之\n爱莉丝·柯纳：久保田未梦\n托尔·冯·弗雷格：志田有彩\n琳恩·休斯：山口爱\n尤莉·卡尔顿：长妻树里\n东尼·弗列德：小林千晃\n尤利乌斯·冯·利特海姆：河本启佑\n马克·宾恩：叶山翔太\n奥丽维亚·史东：佐藤沙耶\n米兰达·华勒斯：吉七味。（Vtuber）\n梅伊·冯·亚尔斯海特：雛乃木真彩（Vtuber）,原作：吉岡剛（Fami通文库）\n角色原案：菊池政治 \u002F 緒方俊輔\n监督：田村正文\n系列构成：髙橋龍也\n角色设计：澤入祐樹\n美术监督：三宅昌和\n色彩设计：重冨英里\n摄影监督：佐藤敦\n编集：瀧川三智\n音响监督：土屋雅紀\n音响制作：グロービジョン\n音乐：大谷幸\n音乐制作：エイベックス・ピクチャーズ（avex pictures）\n动画制作：SILVER LINK.
龙王的工作！,5883.9万,9.0,19612,2018年1月8日,"['小说改', '职场']",224万,248.1万,"已完结, 全12话",0,九头龙八一：内田雄馬\n雛鶴あい：日高里菜\n夜叉神天衣：佐倉綾音\n空銀子：金元寿子\n清滝桂香：茅野愛衣\n水越澪：久保ユリカ\n贞任绫乃：橋本ちなみ\nシャルロット・イゾアール：小倉唯\n神锅步梦：岡本信彦,导演：柳伸亮\n人物设定：矢野茜\n音响监督：本山哲\n摄影监督：川田哲矢\n原作：白鳥士郎\n音响：マジックカプセル\n人物原案：しらび\n系列构成：志茂文彦\n音乐：川井憲次\n动画制作：Project No.9
冰菓,4485.6万,9.8,30645,2012年4月22日,"['恋爱', '推理', '校园', '日常']",200.7万,329.3万,"已完结, 全22话",0,折木奉太郎：中村悠一\n千反田爱瑠：佐藤聪美\n福部里志：阪口大助\n伊原摩耶花：茅野爱衣\n折木供惠：雪野五月\n远垣内将司：置鲇龙太郎\n入须冬实：由加奈\n糸鱼川养子：小山茉美\n十文字嘉保：早见沙织,原作 \u002F 构成协力：米澤穂信「古典部シリーズ」(角川文庫)\n监督：武本康弘\n系列构成：賀東招二\n角色原案 \u002F 角色设计 \u002F 总作画监督：西屋太志\n色彩设计：石田奈央美\n美术监督：奥出修平\n摄影监督：中上竜太\n设定：唐田洋\n编集：重村建吾(楽音舎)\n音响监督：鶴岡陽太\n音乐：田中公平\n音乐制作：ランティス（Lantis）\n动画制作：京都アニメーション（京都动画）\n制作协力：アニメーションDo（Animation Do）
约会大作战 第三季,4522.4万,7.7,32718,2019年1月11日,"['小说改', '萌系', '奇幻', '战斗']",123.5万,332.8万,"已完结, 全12话",1,五河士道：岛崎信长\n夜刀神十香：井上麻里奈\n鸢一折纸：富樫美铃\n五河琴里：竹达彩奈\n四糸乃：野水伊织\n时崎狂三：真田麻美\n八舞耶俱矢：内田真礼\n八舞夕弦：布里德卡特·塞拉·惠美\n诱宵美九：茅原实里\n村雨令音：远藤绫\n神无月恭平：子安武人\n崇宫真那：味里\n冈峰珠惠：佐土原香织\n殿町宏人：胜杏里\n艾伦·米拉·马瑟斯：伊藤静\n艾扎克·雷·佩勒姆·维斯考特：置鲇龙太郎,原作：橘公司（Dragon Magazine连载：Fantasia文库刊）\n原作插画：Tsunako\n监督：元永庆太郎\n总编剧：白根秀树\n角色设计：渡边浩二\n总作画监督：渡边浩二 \u002F 山川宏治\n美术监督：备前光一郎\n色彩设计：日野亚朱佳\n摄影监督：大河内喜夫\n编辑：木村祥明\n音响监督：虾名恭范\n音响效果：川田清贵\n音乐：坂部刚\n音乐制作：日本哥伦比亚\n动画制作：J.C.STAFF\n制作：《约会大作战Ⅲ》制作委员会
动物狂想曲 / BEASTARS,3871.9万,9.8,57127,2019年10月10日,"['漫画改', '奇幻', '恋爱', '校园']",54.1万,238.8万,"连载中, 每周四 03:25更新",1,雷格西（大灰狼）♂：小林亲弘\n春（迷你兔）♀：千本木彩花\n路易（红鹿）♂：小野友树\n茱诺（大灰狼）♀：种崎敦美\n杰克(拉布拉多猎犬)♂：榎木淳弥\n米古诺(斑鬣狗)♂：内田雄马\n可洛(英国牧羊犬)♂：大塚刚央\n达拉姆（郊狼）♂：小林直人\n波司（耳廓狐）♂：下妻由幸\n凯伊（獴）♂：冈本信彦\n沙努（鹈鹕）♂：落合福嗣\n比尔（孟加拉虎）♂：虎岛贵明\n艾鲁丝（安哥拉羊）♀：渡部纱弓\n多姆（孔雀）♂：室元气\n基比（食蚁兽）♂：井口佑一\n席拉（豹）♀：原优子\n青叶（白头海雕）♂：兼政郁人\n艾莲（斑马）♀：大内茜\n瑞知（小丑兔）♀：山村响,原作：《BEASTARS》板垣巴留（秋田书店《周刊少年Champion》连载）\n导演：松见真一\n脚本：樋口七海\n角色设定：大津直\nCG总导演：井野元英二\n美术导演：春日美波\n色彩设计：桥本贤\n摄影导演：古性史织·蔡伯仑\n剪辑：植松淳一\n音乐：神前晓（MONACA）\n制作：Orange
蜡笔小新 第二季（中文）,3982.1万,9.8,3908,1992年4月13日,['搞笑'],69.4万,84万,"已完结, 全873话",1,野原向日葵：こおろぎさとみ\n野原广志：森川智之、藤原啓治\n野原美冴：ならはしみき\n野原新之助：矢島晶子\n小山よし治：池田知聡、坂口賢一\n小山まさえ：宮寺智子\n广播：大西健晴,脚本：桜井正明、ムトウユージ、平井峰太郎、北条千夏、湯浅政明\n导演：ムトウユージ、本郷みつる、原恵一\n原作：臼井儀人\n
